一一 , 表一個接一個沒有間斷。
傳播 , 普通名詞。與大眾傳播相關的工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
傳播 , 物質從一處到另一處。
傳教 , 傳授思想或知識。
傳教 , 宣揚宗教教義。
傳 , 普通名詞。以文字解釋經書內容的書。
傳 , 普通名詞。描述人物故事的作品，通常有杜撰成份。
傳 , 普通名詞。記載特定對象事蹟的文字。常用接尾詞。
傳染 , 受到前述對象的影響，而使後述對象產生類似變化。
傳染 , 疾病藉由特定媒介由一個生物體侵入另一個生物體。
傳染 , 電腦病毒藉由特定媒介由一台主機侵入另一台主機。
傳 , 正式通知並強制與案件相關的人出庭。
傳 , 比喻病原或疾病由一個身體到另一個身體。
傳真 , 利用光電效應的通訊方式，通過有線電或無線電裝置把照片圖表、書信、文件等真跡傳送到遠方。
傳真 , 形容接近原物的真實。
傳真 , 普通名詞。利用光電效應的通訊方式，通過有線電或無線電裝置的通訊方式所傳送到遠方的照片、圖表、書信和文件等。
傳真 , 普通名詞。為早期現場報導的意思，現較為罕用。
傳統 , 形容特定對象和新一代同類對象相較下是未經更新改良過的。
傳統 , 形容特定對象的行為或風格和舊時相近。
傳統 , 普通名詞。經過依段時間累積並延續下來的特定族群所接受、使用的習慣。
傳 , 經由媒介或管道將事物從一處傳到另一處。
傳 , 經由身體的動作將物品交給另一方。
傳 , 訊息、事件等傳播開來。
傳輸 , 將資料在兩個對象之間傳送。
傳輸 , 透過管線運輸流體，常用於供應水或電。
傳送 , 經由媒介或管道將事物從一處傳到另一處。
傳道 , 傳授思想或知識。
傳道 , 宣揚宗教教義。
傳道 , 普通名詞。在教會中以傳教為職業，尚未正式按牧者。
傳遞 , 將物品由一方交到另一方。
傳遞 , 將特定對象經由媒介交給另一方。
傳遞 , 經由身體的動作將物品交給另一方。
債 , 普通名詞。比喻人與人之間所產生的需要處理而未處理的恩惠或仇恨。常用接尾詞。
債 , 普通名詞。特定組織為抒解財財務或其他因素，而發行的向特定對象借款的有價證券。常用接尾詞。
債 , 普通名詞。該給他人而未給的錢財。常用接尾詞。
傷 , 使後述身體器官受到損害。
傷 , 因為後述事件的引起而感到悲傷。
傷害 , 使後述身體器官受到損害。
傷害 , 比喻使後述對象的心理狀態或名譽受到損害。
傷害 , 比喻使後述物體表面或功能受到損害。
傷害 , 比喻對後述社會共同的標準或利益造成損害。
傷 , 形容比喻容易使後述對象的心理狀態或名譽受到損害。
傷 , 形容比喻容易使後述物體表面或功能受到損害。
傷 , 形容比喻容易大量耗損後述對象的。
傷心 , 形容內心痛苦。
傷感 , 形容因感觸而悲傷。
傷感 , 普通名詞。悲傷的感觸。
傷 , 普通名詞。生物器官受到損害的部分。
傷殘 , 傷害與殘害。
傷殘 , 身體器官受到損害，喪失部份或全部功能。
傷 , 比喻使後述物體表面或功能受到損害。
傷 , 比喻使特定對象的心理狀態或名譽受到損害。
傷 , 比喻對後述社會共同的標準或利益造成傷害。
傷 , 生物器官受到損害。
傷痛 , 因負面的事而內心感到痛苦。
傷腦筋 , 為特定事件費心思。
傷 , 表因過度食用同樣的食物而感到厭煩。
傻 , 形容對可理解的事未能及時反應。
傻 , 形容暫時失去感知且茫然。
傻 , 形容特定對象看起來缺乏活力或創新。
傻 , 表比喻未經多加考慮地進行後述事件。
傾 , 傾斜容器使內容物掉出。
傾向 , 在可選擇的事物中，偏於特定的一方。
傾向 , 方向位置偏向特定的一方，通常指身體。
傾向 , 普通名詞。發展的可能方向。
傾 , 在可選擇的事物中，偏於特定的一方。
傾心 , 受到特定對象的強烈吸引。
傾心 , 表投入所有的心思，毫無保留。
傾 , 比喻將心中的感想或不滿說出。
傾 , 比喻政權崩潰瓦解。
傾 , 特定對象的特定能力能操控後述對象。
傾 , 特定物體倒塌，通常是建築物。
傾 , 移動到與正確方向不符合的有小角度的方向。
僅僅 , 表對後述事物做評估，表示比預期小或少。
僅只 , 表對後述事物做評估，表示比預期小或少。
僅有 , 對後述數量做評量，表數量不多。
僅 , 表對後述事物做評估，表示比預期小或少。
僅 , 表限定範圍。
像 , 引介列舉有關的例子。
像 , 引介相似的事件情況。常用「像…一樣」。
像 , 引介與前述事物有共同點的後述事物作為譬喻。
像 , 普通名詞。圖畫、攝影或雕塑等所形成的人的外在形貌。
像 , 與前述對象有共同點的是後述對象。
僥倖 , 形容因運氣好而得到成功或免去災禍。
僧 , 專有名詞。姓。
僧 , 普通名詞。出家修行的男性佛教徒。
僱 , 以金錢做為報酬請他人做事。
價值 , 擁有特定金額的價值。
價值 , 普通名詞。交易時，商品以貨幣為單位可以取得的報償。
價值 , 普通名詞。比喻事物的用途或正面作用。
價 , 普通名詞。以貨幣為單位的商品價值。常用接尾詞。
價 , 普通名詞。原子最外層可以與其他電子連結的電子數。
價格 , 普通名詞。以貨幣為單位的商品價值。
價 , 計算原子或元素進行化學反應時的活性的單位。
儀 , 專有名詞。姓。
儀 , 普通名詞。人的行為舉止。
儀 , 普通名詞。供人學習的對象。常用接尾詞。
儀 , 普通名詞。應該遵守的規定。
儀 , 普通名詞。接尾詞。因前述理由而贈送他人的金錢或物品。
儀 , 普通名詞。接尾詞。為測量特定對象所設計的裝置。
儀 , 普通名詞。接尾詞。符合前述身份或場合的行為舉止。
儀 , 普通名詞。進行特定活動所遵循的禮節儀式。
儂 , 代指單數的聽話者。
億 , 數目字。整數，萬的一萬倍。
儘快 , 表要求加快速度。
儘管 , 表在沒有限制的情況下，隨意去做後述動作。
儘管 , 關聯連接詞。連接不影響後述事實的條件，隱含讓步，常與「但、卻」連用。
儘 , 表一直都是。
儘 , 表在所有可能的情況下，達到最大限度。「儘量」的簡省。
儘 , 表範圍內的全部。
儘量 , 表在所有可能的情況下，達到最大限度。
償還 , 實現願望。
償還 , 為表感恩而提供的回報。
優先 , 形容次序在其他事件之前。
優勢 , 普通名詞。有利的形勢或環境。
優 , 專有名詞。姓。
優 , 形容對特定對象的評價是正面的。
優惠 , 普通名詞。在不同待遇中得到的好處。
優惠 , 給後述對象不同的待遇使其得到好處。
優 , 普通名詞。中國古代以表演樂舞或雜戲為職業的人，現指戲劇演員。
優 , 普通名詞。五等第成績中的第一等，在良之上。
優秀 , 形容特質或表現遠遠超過一般同類對象的。
優 , 表給予特定對象較好的福利。
優點 , 普通名詞。特定對象的正面特質。
儲存 , 將後述對象置於並保留在特定空間。
儲存 , 將金錢存在特定金融機構。
儲 , 將後述對象置於並保留在特定空間。
儲 , 專有名詞。姓。
儲 , 普通名詞。已經確定將繼承王位的人。
儲蓄 , 將金錢儲蓄在特定金融機構。
儲蓄 , 普通名詞。儲存在特定機構的金錢。
儲蓄 , 比喻累積特定能量並在特定時機使用。
儲蓄 , 累積特定對象並保留在特定空間。
兀 , 形容比喻土地上沒有樹木的狀態。
兀 , 形容高聳突起的。
允 , 以語言文字或其他行為同意後述事件發生。
允 , 專有名詞。姓。
允 , 形容處理事情合情理，不偏袒任何一方的。
允許 , 以語言文字或其他行為同意後述事件發生。
允許 , 接受後述負面事件發生而不干涉。
元 , 專有名詞。元朝的國號或政權。
元 , 普通名詞。接尾詞。事物的基本成分。
元 , 計算貨幣的基本單位。
兄弟 , 地方詞。兄弟飯店的建築物及建築物所在的位置。
兄弟 , 專有名詞。臺灣職棒球隊之一，由兄弟飯店所資助。
兄弟 , 專有名詞。臺灣飯店之一，位於臺北市南京東路。「兄弟飯店」的縮寫。
兄弟 , 普通名詞。代指男性說話者，用於拉近親近的關係。
兄弟 , 普通名詞。同父或同母生的男子，先出生者為兄，後出生者為弟。
兄弟 , 普通名詞。彼此交情深厚的男性朋友。
兄弟 , 普通名詞。特指幫派成員。
兄弟 , 普通名詞。男子對他人說話時的自謙之詞。
兄弟 , 普通名詞。輩分相當或身分地位相近的男子。
兄 , 普通名詞。同父或同母生的男子，先出生者。
兄 , 普通名詞。同輩而年紀比自己大的男子。常用接尾詞。
兄 , 普通名詞。對同父或同母所生並比自己先出生的男子的指稱。
充 , 以填充的方式使將特定物質放入特定空間。
充分 , 形容達到所預期的程度。
充分 , 表達到所預期的數量。
充 , 前述對象暫時代替後述對象的角色。
充 , 前述對象的工作或身份是後述對象。
充 , 專有名詞。姓。
充 , 把前述對象當做和後述對象相似以欺騙他人。
充 , 施加壓力使氣體或液體進入特定空間中。
充 , 比喻使後述對象達到希望的程度。
充 , 比喻補充不足的能力或心靈上的需求，常與「電」連用。
充滿 , 以填充的方式將特定物質放入特定空間直到容量達到極限。
充滿 , 前述空間充滿後述對象。
充滿 , 施加壓力使氣體或液體進入特定空間中直到容量達到極限。
充滿 , 比喻使特定對象充份具有特定特質或情感。
充滿 , 比喻特定對象充份具有特定特質或情感。
充當 , 前述對象暫時代替後述對象的角色。
充 , 裝出比實際狀況更強或更好的後述狀態。
充飢 , 吃食物以解除飢餓感。
兇 , 以令人恐懼不安的方式對待後述對象。
兇 , 形容令人恐懼不安的。
兇 , 形容傷害生命的犯罪案件中相關的。
兇 , 普通名詞。比喻對特定事件造成嚴重負面結果的特定對象。
兇 , 普通名詞。犯了傷害生命的犯罪案件的對象。
先 , 在特定參考時點之前的時間。
先天 , 形容動物在出生前，或植物的基因所造成的。
先天 , 時間詞。生物的初生時期。
先天 , 普通名詞。不是來自於經驗的概念。
先天 , 特定事件發展的環境或條件。
先 , 對死去的人的尊稱，通常是長輩或有名望的人。
先 , 普通名詞。特定民族或宗族的上代。
先 , 普通名詞。處理時間或順序排在較前的特定對象。常用「…為先」。
先父 , 代指說話者已死亡的父親。
先生 , 普通名詞。具有執照、能治療疾病的人。
先生 , 普通名詞。具有教學能力或身份的人。
先生 , 普通名詞。在社交上對一般男子的稱呼。
先生 , 普通名詞。女子在婚姻關係中的配偶。
先生 , 普通名詞。對具有前述特質或頭銜的男子的專屬稱呼。
先生 , 普通名詞。對女子在婚姻關係中的配偶的指稱。
先生 , 普通名詞。對從事風水命理工作的人的稱呼。
先生 , 普通名詞。遵守道教戒律並熟悉各種道教儀式的男性修行人。
